Entity	Entity	Data Type	PK or FK?
Company	CompanyID	INT	PK
	CompanyName	VARCHAR(255)	
	CompanyAddress	VARCHAR(255)	
	CompanyEmail	VARCHAR(255)	
Opening	OpeningID	INT	PK
	CompanyID	INT	FK
	QualificationCode	VARCHAR(10)	FK
	StartDate	DATE	
	EndDate	DATE	
	HourlyPay	DECIMAL(10, 2)	
Qualification	QualificationCode	VARCHAR(10)	PK
	QualificationDescription	VARCHAR(255)	
Course	CourseID	INT	PK
	CourseName	VARCHAR(255)	
	QualificationCode	VARCHAR(10)	FK
	CoursePrerequisites	VARCHAR(255)	
Session	SessionID	INT	PK
	CourseID	INT	FK
	SessionDate	DATE	
	SessionFee	DECIMAL(10, 2)	
	maxCapacity	INT	
Candidate	CandidateID	INT	PK
	Name	VARCHAR(255)	
	CandidateAddress	VARCHAR(255)	
	CandidateEmail	VARCHAR(255)	
	CandidatePhoneNumber	VARCHAR(15)	
Job_History	JobHistoryID	INT	
	CandidateID	INT	
	JobRecord	VARCHAR(255)	
	JobDescription	VARCHAR(500)	
	StartDate	DATE	
	EndDate	DATE	
Placement	PlacementID	INT	PK
	OpeningID	INT	FK
	CandidateID	INT	
	TotalHoursWorked	DECIMAL(10, 2)	
